Ananas;48;201;12,63;0,54;0,12;Voce
Articoka;47;197;10,51;3,27;0,15;Povrce
Bakalar;105;439;0;22,8;0,833;Riba
Bakalar (suvi, suseni);290;1213;0;63;2,37;Riba
Banana;89;372;22,84;1,09;0,33;Voce
Vino, bijelo (belo);82;343;2,6;0.07;0;Pica
Bjelance (belance), kokosje;52;217;0,73;10,9;0,17;Jaja
Blitva;19;79;3,74;1,8;0,2;Povrce
Bob mahune;88;368;17,63;7,92;0,73;Povrce
Bob sjemenke;341;1425;58,29;26,12;1,53;Povrce
Bomboni tvrdi (obicni);394;1648;98;0;0,2;Slatkisi
Bomboni karamele;382;1598;77;4,6;8,1;Slatkisi
Borovnice;57;238;14,49;0,74;0,33;Voce
Breskva;39;164;9,54;0,91;0,25;Voce
Brokoli (brokula);34;141;6,64;2,82;0,37;Povrce
Brusnice;46;192;12,2;0,39;0,13;Voce
Bubrezi govedji;99;413;0,29;17,4;3,09;Meso
Bubrezi janjeci;97;406;0,82;15,74;2,95;Meso
Bubrezi svinjski;100;418;0;16,46;3,25;Meso
Mahune (boranija, buranija), zelene (mlade);31;131;6,97;1,83;0,22;Povrce
Mahune (boranija, buranija), zute (zrele);31;129;7,13;1,82;0,12;Povrce
Kamamber (camembert) sir;300;1253;0,46;19,8;24,26;Mlijecni proizvodi
Celer;16;67;2,97;0,69;0,17;Povrce
Cedar (Cheddar) sir;404;1689;3,09;22,87;33,31;Mlijecni proizvodi
Cvekla (cikla);43;180;9,56;1,61;0,17;Povrce
Cvekla (cikla), kuvana, konzervisana;32;134;7;1,1;0,1;Povrce
Cipal;117;490;0;19,35;3,79;Riba
Vino crno (crveno);85;356;2,61;0,07;0;Pica
Dagnje;86;360;3,69;11,9;2,24;Riba
Dinja;34;142;8,16;0,84;0,19;Voce
Dunja;57;238;15,3;0,4;0,1;Voce
Edamer sir;357;1499;1,43;24,99;27,8;Mlijecni proizvodi
Ementaler sir;397;1661;0;29;31,4;Mlijecni proizvodi
Fazan cijeli (celi);181;757;0;22,7;9,29;Meso
Gauda (gouda) sir;356;1491;2,22;24,94;27,44;Mlijecni proizvodi
Gavun;97;406;0;17,63;2,42;Riba
Golub mladi (samo meso);134;561;0;21,76;4,52;Meso
Golub odrasli, cijeli (celi);294;1230;0;18,47;23,8;Meso
Gorgonzola, plavi sir;353;1477;2,34;21,4;28,74;Mlijecni proizvodi
Govedina (junetina);276;1155;0;14,97;23,52;Meso
Govedina (junetina), but, krtina;142;594;0;21,59;5,53;Meso
Govedina (junetina), slabine;201;842;0;20,3;12,71;Meso
Govedina (junetina) prsa;252;1053;0;16,8;20,5;Meso
Govedina (junetina) rostbraten;290;1212;0;16;25,1;Meso
Govedina (junetina) srednje masna;214;895;0;18,8;15,4;Meso
Pasulj (grah), bijeli (beli), tetovac;333;1393;60,27;23,36;0,85;Povrce
Pasulj (grah) mladi, sareni (tresnjevac), smrznuti;170;711;32,5;9,8;0,5;Povrce
Pasulj (grah), sareni (tresnjevac);347;1452;62,55;21,42;1,23;Povrce
Graham hljeb (kruh, hleb);217,9;912;42,7;7,8;1,4;Zitarice
Grasak zeleni (u zrnu), smrznuti;77;322;13,62;5,22;0,4;Povrce
Grasak zeleni (u zrnu);81;339;14,45;5,42;0,4;Povrce
Grejpfrut;32;134;8,08;0,63;0,1;Voce
Grgec (bandar);91;381;0;19,39;0,92;Riba
Grozdje crno (crveno) i bijelo (belo);69;288;18,1;0,72;0,16;Voce
Grozdjice (grozdje suvo);299;1252;79,18;3,07;0,46;Voce
Guma za zvakanje (zvakaca guma, zvaka);360;1507;96,7;0;0,3;Slatkisi
Gumeni bomboni;396;1657;98,9;0;0;Slatkisi
Guska, cijela (cela);371;1552;0;15,86;33,62;Meso
Guska (samo meso);161;674;0;22,75;7,13;Meso
Hamburger (od govedjeg mesa);360;1505;4;14;32;Gotova jela
Haringa (sledj), pacificka;195;816;0;16,39;13,88;Riba
Haringa (sledj), atlantska;158;661;0;17,96;9,04;Riba
Heljdina kasa;346;1446;74;8;2;Zitarice
Heljdino (heljda) brasno, integralno;335;1402;70,59;12,62;3,1;Zitarice
Hlap (rarog, lap) rak;77;324;0;16,52;0,75;Riba
Hljeb (hleb, kruh) kukuruzni zuti domaci (kukuruza, proja);418;1749;69,5;7;12,2;Zitarice
Hljeb (hleb, kruh) mijesani (psenica+raz);230;961;39;14;2;Zitarice
Hljeb (hleb kruh) psenicni bijeli;234;978;46;8;2;Zitarice
Hljeb (hleb, kruh) psenicni bijeli mlijecni;239;999;44;9;3;Zitarice
Hljeb (hleb, kruh) psenicni crni;222;928;43;8;2;Zitarice
Hobotnica;82;343;2,2;14,91;1,04;Riba
Hren (ren);48;201;11,29;1,18;0,69;Umaci
Hrenovke (virsle), govedina + svinjetina;305;1276;1,72;11,53;27,64;Meso
Hrenovke (virsle) pilece;223;933;2,74;15,51;16,19;Meso
Incun;131;548;0;20,35;4,84;Riba
Incun, konzerviran u ulju, ocijedjen;210;879;0;28,89;9,71;Riba
Iverak (pasara, ploca);70;294;0;12,41;1,93;Riba
Jabuka;52;218;13,81;0,26;0,17;Voce
Jaffa cakes orange classic, Crvenka;378;1595;69;4,1;9;Slatkisi
Jagode;33;136;7,68;0,67;0,3;Voce
Jaje guscje, cijelo (celo);185;775;1,35;13,87;13,27;Jaja
Jaje kokosje, cijelo (celo);147;614;0,77;dec.58;sep.94;Jaja
